"","10","11","23","14","201","204"
"BB0",3513,NA,NA,5038,1884,188
"BB1",3344,3429,3930,4986,1880,136
"BB2",3397,3573,4171,4946,1726,25
"BB3",3281,3386,4015,4913,641,NA
"BB4",3177,3328,3837,4888,1737,NA
"BB5",NA,3166,3695,4858,1638,NA
"BB6",0,0,1960,2326,104,NA
"BB7",NA,NA,1255,2178,0,NA
"BI0",4566,7387,14157,5428,1887,186
"BI1",3349,4736,8145,5210,1882,140
"BI2",4297,6388,13340,5120,1728,24
"BI3",3176,3866,6669,4946,1739,0
"BI4",30,780,4311,2821,137,NA
"ZB2",NA,3416,689,249,NA,NA
"ZB3",NA,2649,0,0,NA,NA
