"10" "11" "23" "14" "201" "204"
"BB0" 3513 3657 4236 5038 1841 188
"BB1" 3344 3429 3930 4986 1837 136
"BB2" 3397 3573 4171 4946 1684 25
"BB3" 3281 3386 4015 4913 598 NA
"BB4" 3221 3328 3837 4888 1694 2305843009213693696
"BB5" NA 3166 3695 4858 1595 NA
"BB6" 0 0 1960 2326 62 NA
"BB7" NA NA 1255 2178 0 NA
"BI0" 4566 7387 14157 5428 1845 186
"BI1" 3349 4736 8145 5210 1840 140
"BI2" 4297 6388 13340 5120 1685 24
"BI3" 3176 3866 6669 4946 1696 0
"BI4" 30 780 4311 2821 95 NA
"ZB2" NA 3416 689 249 NA NA
"ZB3" NA 2649 0 0 NA NA
