"","10","11","23","14","201","204"
"BB0",1083,3305,1135,3303,113,8
"BB1",1072,3014,783,2981,NA,2
"BB2",964,3138,1065,3219,NA,NA
"BB3",NA,3039,1037,3170,NA,NA
"BB4",962,2860,736,2915,NA,NA
"BB5",NA,NA,687,2783,NA,NA
"BB6",NA,170,11,245,NA,NA
"BB7",NA,0,0,0,NA,NA
"BI0",1269,25413,11935,8041,111,20
"BI1",1139,6893,2339,3304,117,0
"BI2",1075,22393,11695,7967,4,NA
"BI3",NA,6073,2034,3227,0,NA
"BI4",0,4203,671,701,NA,NA
"ZB2",NA,25616,6945,5124,NA,NA
"ZB3",NA,22819,6858,NA,NA,NA
"GB",NA,NA,NA,NA,NA,NA
